date,open,high,low,close,volume
4/16/1987,0.2038,0.2134,0.2033,0.2091,399308
4/20/1987,0.2091,0.2112,0.2027,0.2033,212961
4/21/1987,0.2033,0.2081,0.199,0.2065,240315
4/22/1987,0.2065,0.2097,0.2065,0.2091,158537
4/23/1987,0.2091,0.2112,0.2059,0.2091,102594
4/24/1987,0.2091,0.2112,0.2065,0.2102,115005
4/27/1987,0.2102,0.2118,0.2065,0.2102,112743
4/28/1987,0.2103,0.2262,0.2081,0.2256,235874
4/29/1987,0.2256,0.2314,0.2192,0.2192,180802
4/30/1987,0.2192,0.2256,0.216,0.2208,186925
5/1/1987,0.2208,0.2235,0.2181,0.2229,80332
5/4/1987,0.2229,0.2287,0.2218,0.2271,73296
5/5/1987,0.2277,0.2457,0.2277,0.2457,235613
5/6/1987,0.2457,0.2478,0.2388,0.2399,325858
5/7/1987,0.2399,0.2516,0.2383,0.251,614907
5/8/1987,0.2516,0.2722,0.2516,0.2685,318508
5/11/1987,0.2685,0.2685,0.2608,0.2611,270392
5/12/1987,0.2611,0.2638,0.2484,0.2521,315201
5/13/1987,0.2536,0.2595,0.2536,0.2584,155761
5/14/1987,0.2585,0.2654,0.2585,0.2606,127304
5/15/1987,0.26,0.26,0.2532,0.2532,179032
5/18/1987,0.2532,0.2532,0.2378,0.2447,366439
5/19/1987,0.2447,0.2447,0.2362,0.2362,166312
5/20/1987,0.2351,0.2351,0.2277,0.2325,484874
5/21/1987,0.233,0.2393,0.233,0.2367,198065
5/22/1987,0.2367,0.2377,0.2287,0.2298,137183
5/26/1987,0.2299,0.2335,0.2293,0.2325,99555
5/27/1987,0.2325,0.2378,0.2315,0.2325,103530
5/28/1987,0.2325,0.2474,0.2319,0.2468,230718
5/29/1987,0.2468,0.2511,0.2441,0.2447,170654
6/1/1987,0.2447,0.2447,0.2399,0.2399,64377
6/2/1987,0.2399,0.2436,0.2356,0.2388,109435
6/3/1987,0.2399,0.2436,0.2399,0.2404,45916
6/4/1987,0.2404,0.2404,0.2372,0.2388,43285
6/5/1987,0.2388,0.2399,0.2271,0.2319,125824
6/8/1987,0.2319,0.2335,0.2282,0.233,236852
6/9/1987,0.233,0.2335,0.2303,0.2314,54839
6/10/1987,0.2314,0.2324,0.2149,0.2197,374114
6/11/1987,0.2235,0.2246,0.2065,0.207,570549
6/12/1987,0.207,0.2155,0.2065,0.2086,416527
6/15/1987,0.2086,0.2118,0.2044,0.2086,265902
6/16/1987,0.2085,0.2154,0.208,0.2128,156070
6/17/1987,0.2138,0.2208,0.2138,0.2202,150876
6/18/1987,0.2197,0.2229,0.2165,0.2226,119278
6/19/1987,0.2235,0.2255,0.2208,0.2218,86629
6/22/1987,0.2229,0.2229,0.2186,0.2202,185599
6/23/1987,0.2203,0.2203,0.2134,0.2182,213980
6/24/1987,0.2192,0.2251,0.2192,0.2224,175560
6/25/1987,0.2218,0.2229,0.2197,0.2218,93476
6/26/1987,0.2224,0.2235,0.2203,0.2224,46596
6/29/1987,0.2223,0.2223,0.2176,0.2213,54408
6/30/1987,0.2219,0.2224,0.216,0.2166,81393
7/1/1987,0.216,0.2192,0.2155,0.2176,46589
7/2/1987,0.2182,0.2182,0.2097,0.2123,120764
7/6/1987,0.2118,0.2145,0.206,0.207,139060
7/7/1987,0.2065,0.2065,0.19,0.1916,418353
7/8/1987,0.1932,0.2012,0.1879,0.198,410737
7/9/1987,0.199,0.2081,0.198,0.2033,196819
7/10/1987,0.2022,0.2069,0.1995,0.2059,160966
7/13/1987,0.2059,0.2113,0.2038,0.2107,102599
7/14/1987,0.2123,0.2235,0.2112,0.2229,324385
7/15/1987,0.223,0.2246,0.2171,0.2171,205481
7/16/1987,0.2176,0.2187,0.2123,0.2166,154959
7/17/1987,0.2166,0.2208,0.2161,0.2171,108856
7/20/1987,0.2165,0.2165,0.2106,0.2112,89187
7/21/1987,0.2113,0.2144,0.2091,0.2107,77591
7/22/1987,0.2107,0.2134,0.2091,0.2123,113304
7/23/1987,0.2123,0.2123,0.1996,0.2075,315224
